	litmus7	PerpLE (Counter)	PerpLE (Heuristic)
amd10	0.0	0.0	0.0
amd3	1378.0	2.4	0.0
amd5	0.0	0.0	0.0
amd5+staleld	0.0	0.0	0.0
co-iriw	0.2	0.0	0.0
iwp23b	0.0	0.0	10000.0
iwp24	827.9	827.9	1.3
lb	0.0	0.0	0.0
mp	0.0	0.0	0.0
mp+fences	0.0	0.0	0.0
mp+staleld	0.0	0.0	0.0
n1	61681.2	0.0	0.0
n4	2081912.0	0.0	0.0
n5	0.0	0.0	0.0
podwr000	1489.5	1476.9	1.1
podwr001	1839.333	1615.0	15.333
rfi009	14.1	9.9	0.1
rfi013	400.7	400.7	0.4
rfi015	19.5	19.5	0.0
rfi017	933.4	839.6	0.0
rwc-fenced	0.0	0.0	0.0
rwc-unfenced	0.3	0.3	0.1
safe006	0.0	0.0	0.0
safe022	0.0	0.0	0.0
safe036	0.0	0.0	0.0
sb	1434.4	1424.9	0.1
wrc	0.0	0.0	0.0
